品名,型号,色号,现库存,备注,类别
长安,CQ8102,,12,,大地砖
长安,CQ8123,,9,,大地砖
长安,CQ8123,LB1A,55,,大地砖
长安,CA8156,MB1,66,,大地砖
长安,CA8159,NC1,16,,大地砖
长安,CA8159,MB1,13,,大地砖
长安,CY8105,,13,,大地砖
长安,CY8108,,11,,大地砖
长安,CF69503,JB54,24,,大地砖
长安,微晶琥珀色,,15,,大地砖
长安,微品石大厅地,,15,,大地砖
长安,微晶石深啡网,,29,,大地砖
长安,微晶墨绿色,,22,,大地砖
长安,微晶黑色,,6,,大地砖
长安,CD8027,,25,,大地砖
长安,CD8053,,65,,大地砖
长安,雨林棕,,22,,大地砖
长安,CD8030,,15,,大地砖
长安,CD8108,,7,,大地砖
长安,CD80111,,14,,大地砖
长安,CSD8132,,60,,大地砖
长安,CSD8128,,6,,大地砖
长安,CAT8165,,12,,大地砖
长安,CAT8152,,9,,大地砖
长安,CT8125,,15,,大地砖
长安,CT8158,,48,,大地砖
长安,CF69508,,29,,大地砖
长安,CAY8108,RA110,26,,大地砖
长安,CAY8109,OB110,14,,大地砖
长安,CAT81103,RE51,9,,大地砖
长安,CT81902Q,RDC2,2,,大地砖
长安,CT81902Q,RED1,10,,大地砖
长安,CAT81105,RB1,3,,大地砖
长安,CAT81105,RC51,14,,大地砖
长安,CAT8168,NC1,6,,大地砖
长安,CT9101,,13,,大地砖
长安,CT9105,,15,,大地砖
长安,CT9111,,23,,大地砖
长安,12865白色,,8,,大地砖
长安,12001,,12,,大地砖
长安,12002,,9,,大地砖
长安,12005,,7,,大地砖
长安,12669,,16,,大地砖
长安,12010,,10,,大地砖
长安,12369,,8,,大地砖
长安,12802,,9,,大地砖
长安,CT17510,,15,,大地砖
长安,CT17518,,6,,大地砖
长安,CT175119,QC1,6,,大地砖
长安,CT17521,,6,,大地砖
长安,CT17528,,7,,大地砖
长安,CT17530,3个色号,20,,大地砖
长安,CT17530,,10,,大地砖
长安,CT17531,,8,,大地砖
长安,CAT175121,,6,,大地砖
长安,CAT175122,,6,,大地砖
长安,CAY175813,RB2,8,,大地砖
长安,CAY17588,,3,,大地砖
长安,CAY17589,,2,,大地砖
长安,CT175901,RAA1,8,,大地砖
长安,CT175901,RBA1,15,,大地砖
长安,CT175901,RCC1,5,,大地砖
长安,CT175962,,3,,大地砖
海韵轩,JG326,G58,12,,大地砖
施琅,红色带线条,,8,,大地砖
新华夏,深啡网,,12,,大地砖
壹号,灰纹魔方砖,,21,,大地砖
壹号,餐厅背景,,12,,大地砖
壹号,HSC8016,15C11,13,,大地砖
壹号,HIPAM8001-PH,,36,,大地砖
多米诺,85033,,11,,大地砖
酒调,灰色仿古砖,,6,,大地砖
卓冠,86510,,166,,大地砖
太阳昇,8007,,36,,大地砖
太阳昇,8802,,11,,大地砖
嘉核科学平台,H88060,16色,47,,大地砖
纯黑色,800*800,,18,,大地砖
东鹏,800*800,,12,,大地砖
国家电网,翔瑞800/800,,4,,大地砖
伊诺贝尔,12866,,9,,大地砖
伊诺贝尔,12771,,12,,大地砖
多米诺,75002,,8,,大地砖
设计师,BY15L03,,2,,大地砖
设计师,BY15L02,,10,,大地砖
设计师,15L02,,6,,大地砖
设计师,15255,,6,,大地砖
设计师,15002,,8,,大地砖
设计师,71526,,26,,大地砖
设计师,75120,,7,,大地砖
设计师,FE75122,,3,,大地砖
设计师,FE75118,,4,,大地砖
1500*750木纹,SM7580,,5,,大地砖
恒基美居台球厅,翔瑞1800/900,,14,,大地砖
蜜蜂E家,6838,D3,36,,大地砖
鹅卵石,69012,,8,,大地砖
设计师,600/600,木纹,18,,大地砖
爵士白,600/600,爵士白,29,,大地砖
长安60001画,600/600,60001画,22,,大地砖
哑光黑色,600/600,哑光黑色,49,,大地砖
铁锈红,600/600,铁锈红,28,,大地砖
设计师灰色,600/600,灰色,16,,大地砖
黑白花方格画,600/600,,17,,大地砖
深绿色油漆砖,600/600,,20,,大地砖
黑白灰菱形块,600/600,,18,,大地砖
抛釉灰色,600/600,,20,,大地砖
国家电网,翔瑞600/600,,43,,大地砖
懋隆,1200/200,1220B55,5件,,大地砖
,,,,,
长安,30803,2,238,,小地砖
长安,30901,1,214,,小地砖
长安,31936,27,518,,小地砖
长安,33870,26,442,,小地砖
长安,30870D,18,588,,小地砖
长安,30871D,4,923,,小地砖
长安,33877A,6,559,,小地砖
长安,33877B,5,104,,小地砖
长安,33877B,8,"1,287",,小地砖
长安,33877D,6,266,,小地砖
长安,33926,,156,,小地砖
长安,33930,16,"2,093",,小地砖
长安,33930-1,15,"2,262",,小地砖
长安,333931,36,"1,441",,小地砖
长安,33931-1,23,137,,小地砖
长安,30936,12,436,,小地砖
长安,31849,1,622,,小地砖
长安,32802,8,65,,小地砖
长安,32806,3,224,,小地砖
长安,32808,3,360,,小地砖
长安,32812,1,724,,小地砖
长安,31886,4,207,,小地砖
长安,31845,1,490,,小地砖
长安,31890,12,543,,小地砖
长安,31923,A88,612,,小地砖
长安,31928,2,273,,小地砖
长安,31932,3,574,,小地砖
长安,30852,1,364,,小地砖
长安,30828,31,169,,小地砖
长安,30868,23,560,,小地砖
长安,30882,17,238,,小地砖
长安,4A08,T2,"2,869",,小地砖
糖果,30030,49G,390,,小地砖
糖果,30551浅,50,702,,小地砖
糖果,30551深,54,"1,755",,小地砖
喜德龙,6005,4,225,,小地砖
喜德龙,6027,4,345,,小地砖
宏宇壹佰,96P89D,1,210,,小地砖
宏宇壹佰,99YF53D,1,164,,小地砖
宏宇壹佰,96P121D,2,197,,小地砖
宏宇壹佰,96P116D,6,525,,小地砖
宏宇壹佰,99Y07,1,315,,小地砖
宏宇壹佰,96P192D,A3,690,,小地砖
宏宇壹佰,99Y05D,2,102,,小地砖
宏宇壹佰,96P173D,A3,260,,小地砖
可乐人生,3315B,V1,"1,122",,小地砖
可乐人生,3303A,F1,429,,小地砖
可乐人生,3303B,F1,151,,小地砖
可乐人生,3317A,V1,56,,小地砖
可乐人生,3317B,V1,121,,小地砖
精品小地砖,99P18D,11,143,,小地砖
精品小地砖,30166,3,825,,小地砖
美陶尚品,6840D,504,464,,小地砖
美陶尚品,5918D,111,240,,小地砖
美陶尚品,68110D,502,20,,小地砖
美陶尚品,6818D,508,375,,小地砖
美陶尚品,80011D,701,193,,小地砖
美陶尚品,6853D,601,614,,小地砖
美陶尚品,8006D,502,445,,小地砖
名仕人生,20026D,606,"1,007",,小地砖
粤维,DGS005B,Z7,45,,小地砖
踢脚线,,,54件,,小地砖
,白绿配套小地砖,,16,,小地砖
